"ID","City","State",,,,,"States - Other"
"[10222] =","Chhapra","Bihar - Other",,,,,
"[1399] =","Chhatarpur","Madhya Pradesh - Other",,,,,
"[65] =","Chhatisgarh - Other","Chhatisgarh - Other",,,,,
"[1400] =","Chhaygaon","Assam - Other",,,,,
"[1401] =","Chhindwara","Madhya Pradesh - Other",,,,,
"[1402] =","Chhuikhadan","Chhattisgarh - Other",,,,,
"[1403] =","Chhuriya","Chhattisgarh - Other",,,,,
"[1404] =","Chickaballapur","Karnataka - Other",,,,,
"[1405] =","Chickanyakanahally","Karnataka - Other",,,,,
"[790] =","Chickballapur","Karnataka - Other",,,,,
"[1406] =","Chickkanayanakahalli","Karnataka - Other",,,,,
"[1407] =","Chickmagalore","Karnataka - Other",,,,,
"[1408] =","Chickmagalur","Karnataka - Other",,,,,
"[979] =","Chidambaram","Tamil Nadu - Other",,,,,
"[1409] =","Chikaballapur","Karnataka - Other",,,,,
"[1410] =","Chikali","Gujarat - Other",,,,,
"[1411] =","Chikamagalur","Karnataka - Other",,,,,
"[1412] =","Chikhaldara","Maharashtra - Other",,,,,
"[1413] =","Chikhali","Karnataka - Other",,,,,
"[1414] =","Chikhli","Gujarat - Other",,,,,
"[1415] =","Chikkabalapur","Karnataka - Other",,,,,
"[1416] =","Chikkajajurg","Karnataka - Other",,,,,
"[1417] =","Chikkodi","Karnataka - Other",,,,,
"[1418] =","Chikmaglur","Karnataka - Other",,,,,
"[1419] =","Chimur","Maharashtra - Other",,,,,
"[1420] =","Chincholi","Karnataka - Other",,,,,
"[1421] =","Chindwara","Madhya Pradesh - Other",,,,,
"[980] =","Chingleput","Tamil Nadu - Other",,,,,
"[1422] =","Chinnamakkapalle","All over India",,,,,
"[1423] =","Chintalapudi","Andhra Pradesh - Other",,,,,
"[789] =","Chinthamani","Karnataka - Other",,,,,
"[1424] =","Chirimiri","Chhattisgarh - Other",,,,,
"[1425] =","Chitaguppa","Karnataka - Other",,,,,
"[1426] =","Chitrakoot","Karnataka - Other",,,,,
"[1427] =","Chittapur","Karnataka - Other",,,,,
"[1428] =","Chittaranjan","West Bengal - Other",,,,,
"[1429] =","Chittorgarh","Rajasthan - Other",,,,,
"[1430] =","Chityal","Andhra Pradesh - Other",,,,,
"[1431] =","Chodavaram","Andhra Pradesh - Other",,,,,
"[1432] =","Chokkanahalli","Karnataka - Other",,,,,
"[830] =","Chopda","Maharashtra - Other",,,,,
"[1433] =","Choutappul","Andhra Pradesh - Other",,,,,
"[1434] =","Chowdavaram","Andhra Pradesh - Other",,,,,
"[774] =","Chowki","All over India",,,,,
"[981] =","Chunkankadai","Tamil Nadu - Other",,,,,
"[1435] =","Churachandpur","Manipur - Other",,,,,
"[1436] =","Churu","Rajasthan - Other",,,,,
"[1437] =","Churulia","West Bengal - Other",,,,,
"[1438] =","Cooch Behar","West Bengal - Other",,,,,
"[1439] =","Courtallam","Tamil Nadu - Other",,,,,
"[68] =","Cuddalore","Tamil Nadu - Other",,,,,
"[1440] =","Dabhade","Maharashtra - Other",,,,,
"[1441] =","Dabhra","Chhattisgarh - Other",,,,,
"[1442] =","Dahiwadi","Maharashtra - Other",,,,,
"[1443] =","Dahod","Gujarat - Other",,,,,
"[1444] =","Dakpathar","Uttarakhand - Other",,,,,
"[1445] =","Dakshin Dinajpur","West Bengal - Other",,,,,
"[819] =","Dakshina Kannada","Karnataka - Other",,,,,
"[71] =","Dalhousie","Himachal Pradesh - Other",,,,,
"[1446] =","Dalkhela","All over India",,,,,
"[1447] =","Dallirajhara","Chhattisgarh - Other",,,,,
"[1448] =","Dalmia Nagar","Bihar - Other",,,,,
"[1449] =","Dalsingsarai","Bihar - Other",,,,,
"[1451] =","Damoh","Madhya Pradesh - Other",,,,,
"[1452] =","Dandeli","Karnataka - Other",,,,,
"[1453] =","Dantewada","Chhattisgarh - Other",,,,,
"[1454] =","Dapodi","Maharashtra - Other",,,,,
"[982] =","Dapoli","Maharashtra - Other",,,,,
"[738] =","Darbhanga","Bihar - Other",,,,,
"[1455] =","Darhatta Lari","Bihar - Other",,,,,
"[1457] =","Darrang","Assam - Other",,,,,
"[1458] =","Darwha","Maharashtra - Other",,,,,
"[1459] =","Daryapur","Maharashtra - Other",,,,,
"[1460] =","Datia","Madhya Pradesh - Other",,,,,
"[1461] =","Daund","Maharashtra - Other",,,,,
"[1462] =","Dausa","Rajasthan - Other",,,,,
"[10218] =","Dausa (RAJASTHAN)","Rajasthan - Other",,,,,
"[1463] =","Davagere","Karnataka - Other",,,,,
"[1464] =","Davanagar","Karnataka - Other",,,,,
"[1465] =","Dayalpur","Haryana - Other",,,,,
"[1466] =","Deeg","Rajasthan - Other",,,,,
"[1467] =","Deenapur","Uttar Pradesh - Other",,,,,
"[1468] =","Deesa","Gujarat - Other",,,,,
"[1469] =","Degghar","Jharkhand - Other",,,,,
"[1470] =","Degloor","Maharashtra - Other",,,,,
"[1471] =","Dehri","Bihar - Other",,,,,
"[1472] =","Demow","Assam - Other",,,,,
"[1473] =","Deodurga","Karnataka - Other",,,,,
"[735] =","Deoghar","Jharkhand - Other",,,,,
"[1474] =","Deola","Maharashtra - Other",,,,,
"[1475] =","Deolali","Maharashtra - Other",,,,,
"[1476] =","Deoli","Rajasthan - Other",,,,,
"[1477] =","Deopriyag","Uttarakhand - Other",,,,,
"[1478] =","Deorh","Bihar - Other",,,,,
"[1479] =","Deori","Maharashtra - Other",,,,,
"[1480] =","Deoria","Bihar - Other",,,,,
"[1481] =","Dergaon","Assam - Other",,,,,
"[1483] =","Desai Ganj","All over India",,,,,
"[1482] =","Desaiganj","Maharashtra - Other",,,,,
"[1484] =","Devanahalli","Karnataka - Other",,,,,
"[1485] =","Devarkonda","Andhra Pradesh - Other",,,,,
"[1486] =","Devazrapalli","Andhra Pradesh - Other",,,,,
"[1487] =","Devendranagar","Madhya Pradesh - Other",,,,,
